Bank,Country,Europe,Asia,North America,Canada,UK,Australia,Cum % of Assets Loaned since 2016,2020 Assets (Billions),Policy - Total Coal (0/80),Policy - Total O&G (0/120),Policy - Total Scores (0/200),FFF - total rank,FFF - European Rank,FFF - Asian Rank,FFF - North American Rank,FFF - Canadian Rank,FFF - UK Rank,FFF - 2016,FFF - 2017,FFF - 2018,FFF - 2019,FFF - 2020,FFF - 2016-2020,FFF - Compared To 2016,AOG - Rank,AOG - European Rank,AOG - Asian Rank,AOG - North American Rank,AOG - Canadian Rank,AOG - UK Rank,AOG - 2016,AOG - 2017,AOG - 2018,AOG - 2019,AOG - 2020,AOG - Total,AOG - Compared To 2016,CM - Rank,CM - European Rank,CM - Asian Rank,CM - North American Rank,CM - Canadian Rank,CM - UK Rank,CM - 2016,CM - 2017,CM - 2018,CM - 2019,CM - 2020,CM - Total,CM - Compared To 2016,CP - Rank,CP - European Rank,CP - Asian Rank,CP - North American Rank,CP - Canadian Rank,CP - UK Rank,CP - 2016,CP - 2017,CP - 2018,CP - 2019,CP - 2020,CP - Total,CP - Compared To 2016,FFE - Rank,FFE - European Rank,FFE - Asian Rank,FFE - North American Rank,FFE - Canadian Rank,FFE - UK Rank,FFE - 2016,FFE - 2017,FFE - 2018,FFE - 2019,FFE - 2020,FFE - Total,FFE - Compared To 2016,FOG - Rank,FOG - European Rank,FOG - Asian Rank,FOG - North American Rank,FOG - Canadian Rank,FOG - UK Rank,FOG - 2016,FOG - 2017,FOG - 2018,FOG - 2019,FOG - 2020,FOG - Total,FOG - Compared To 2016,LNG - Rank,LNG - European Rank,LNG - Asian Rank,LNG - North American Rank,LNG - Canadian Rank,LNG - UK Rank,LNG - 2016,LNG - 2017,LNG - 2018,LNG - 2019,LNG - 2020,LNG - Total,LNG - Compared To 2016,OOG - Rank,OOG - European Rank,OOG - Asian Rank,OOG - North American Rank,OOG - Canadian Rank,OOG - UK Rank,OOG - 2016,OOG - 2017,OOG - 2018,OOG - 2019,OOG - 2020,OOG - Total,OOG - Compared To 2016,TS - Rank,TS - European Rank,TS - Asian Rank,TS - North American Rank,TS - Canadian Rank,TS - UK Rank,TS - 2016,TS - 2017,TS - 2018,TS - 2019,TS - 2020,TS - Total,TS - Compared To 2016
Agricultural Bank of China,cn,,TRUE,,,,,1.4%,"$3,572.98",0,0,0,22,-,8,-,-,-,"$11,839,000,000.00","$5,678,000,000.00","$7,445,000,000.00","$11,021,000,000.00","$13,769,000,000.00","$49,752,000,000.00",Up,11,-,5,-,-,-,"$238,720,057.00","$19,828,927.40","$91,479,741.00","$350,353,626.00","$423,520,309.00","$1,123,902,661.00",Up,11,-,11,-,-,-,"$1,077,920,650.00","$692,272,028.00","$792,689,661.00","$724,899,399.00","$1,284,826,701.00","$4,572,608,440.00",Up,4,-,4,-,-,-,"$4,102,543,690.00","$2,513,115,188.00","$2,424,110,621.00","$3,571,862,466.00","$3,455,444,311.00","$16,067,000,000.00",Down,23,-,6,-,-,-,"$5,980,591,654.00","$2,850,505,503.00","$3,184,946,473.00","$4,126,461,602.00","$5,302,939,099.00","$21,445,000,000.00",Down,30,-,7,-,-,-,"$358,313,135.00","$16,704,249.50","$154,072,587.00","$266,769,220.00","$448,062,898.00","$1,243,922,090.00",Up,39,-,12,-,-,-,"$93,684,599.10","$916,045.67","$73,516,010.80","$15,127,117.30","$165,078,602.00","$348,322,375.00",Up,19,-,7,-,-,-,"$716,782,245.00","$489,141,778.00","$332,409,745.00","$1,474,998,037.00","$1,033,926,300.00","$4,047,258,104.00",Up,26,-,7,-,-,-,"$67,624,248.60","$15,701,841.00","$20,488,689.70","$54,037,466.60","$114,841,507.00","$272,693,753.00",Up
Santander,es,TRUE,,,,,,2.0%,"$1,702.61",32,18.5,50.5,29,11,-,-,-,-,"$6,256,000,000.00","$5,004,000,000.00","$4,813,000,000.00","$8,285,000,000.00","$9,678,000,000.00","$34,036,000,000.00",Up,42,18,-,-,-,-,$0.00,"$16,518,477.30",$0.00,"$22,021,898.10","$30,078,420.60","$68,618,796.10",Up,34,14,-,-,-,-,"$35,372,240.80","$76,295,024.80","$56,167,120.20","$142,394,075.00","$86,018,479.80","$396,246,940.00",Up,38,9,-,-,-,-,"$181,989,542.00",$0.00,"$164,976,521.00","$46,143,061.90",$0.00,"$393,109,125.00",Down,24,8,-,-,-,-,"$4,156,896,366.00","$2,576,344,735.00","$2,261,806,115.00","$3,783,180,135.00","$6,972,447,970.00","$19,751,000,000.00",Up,31,11,-,-,-,-,"$56,452,871.50","$80,492,551.80","$161,816,141.00","$193,471,563.00","$740,393,869.00","$1,232,626,996.00",Up,16,6,-,-,-,-,"$619,475,709.00","$57,172,197.10","$457,943,331.00","$997,076,395.00","$1,071,769,855.00","$3,203,437,488.00",Up,12,5,-,-,-,-,"$3,169,712,064.00","$1,661,961,809.00","$828,459,742.00","$1,960,933,301.00","$3,423,608,112.00","$11,045,000,000.00",Up,28,9,-,-,-,-,"$18,737,557.00","$36,429,903.40","$12,540,548.40","$29,863,149.60","$55,145,164.90","$152,716,323.00",Up
NatWest,gb,TRUE,,,,TRUE,,1.2%,"$1,109.68",30,13,43,46,16,-,-,-,4,"$3,677,000,000.00","$2,804,000,000.00","$3,365,000,000.00","$1,462,000,000.00","$2,086,000,000.00","$13,393,000,000.00",Down,47,19,-,-,-,4,$0.00,$0.00,"$6,678,997.33",$0.00,"$23,479,732.40","$30,158,729.80",Up,35,15,-,-,-,4,"$40,019,077.80","$40,744,376.20","$56,167,120.40","$163,360,365.00","$86,018,479.80","$386,309,419.00",Up,51,18,-,-,-,5,$0.00,$0.00,$0.00,"$23,071,531.10",$0.00,"$23,071,531.10",Equal,48,18,-,-,-,4,"$1,152,738,327.00","$1,129,111,274.00","$562,761,455.00","$364,436,073.00","$860,603,828.00","$4,069,650,958.00",Down,32,12,-,-,-,3,"$410,240,338.00","$400,234,195.00","$26,536,458.00","$28,361,622.60","$35,793,996.40","$901,166,609.00",Down,44,21,-,-,-,5,"$54,290,272.10","$34,213,201.90","$30,852,648.70","$11,785,681.10","$44,219,953.10","$175,361,757.00",Down,37,17,-,-,-,5,"$137,805,829.00","$263,382,280.00","$269,122,169.00","$72,109,951.30","$232,209,419.00","$974,629,647.00",Up,39,14,-,-,-,5,"$7,834,013.62","$14,171,187.20","$19,618,386.30","$3,418,748.39","$6,684,602.53","$51,726,938.10",Down
Commerzbank,de,TRUE,,,,,,2.5%,$478.40,14,5,19,43,19,-,-,-,-,"$1,005,000,000.00","$2,729,000,000.00","$2,363,000,000.00","$3,368,000,000.00","$2,392,000,000.00","$11,856,000,000.00",Up,25,9,-,-,-,-,$0.00,"$21,091,805.50","$71,550,083.90","$154,991,344.00","$90,431,316.80","$338,064,551.00",Up,19,3,-,-,-,-,"$122,033,789.00","$148,206,518.00","$322,160,387.00","$142,394,075.00","$226,954,152.00","$961,748,921.00",Up,42,12,-,-,-,-,$0.00,"$10,582,010.60","$34,006,734.10","$46,143,061.90","$44,249,512.70","$134,981,319.00",Up,46,17,-,-,-,-,"$320,524,780.30","$699,255,980.40","$982,833,486.00","$1,356,703,406.00","$1,276,577,493.00","$4,635,895,145.00",Up,33,13,-,-,-,-,$0.00,"$22,876,022.50","$37,019,890.40","$377,678,461.00","$425,385,966.00","$862,960,340.00",Up,42,20,-,-,-,-,$0.00,"$18,454,270.00","$151,651,401.00","$35,442,911.20","$29,602,651.60","$235,151,234.00",Up,36,16,-,-,-,-,$0.00,"$372,835,083.00","$229,732,900.00","$216,855,231.00","$177,709,583.00","$997,132,796.00",Up,42,16,-,-,-,-,$0.00,"$7,643,801.25","$12,540,548.40","$10,281,153.40","$11,273,214.50","$41,738,717.60",Up
China Construction Bank,cn,,TRUE,,,,,1.7%,"$3,653.11",0,0.5,0.5,24,-,6,-,-,-,"$15,828,000,000.00","$9,925,000,000.00","$9,013,000,000.00","$13,727,000,000.00","$12,043,000,000.00","$60,536,000,000.00",Down,19,-,9,-,-,-,"$91,789,422.90","$19,828,927.40","$5,955,512.81","$348,801,387.00","$189,308,663.00","$655,683,913.00",Up,2,-,2,-,-,-,"$2,689,885,350.00","$2,527,956,005.00","$2,454,735,462.00","$2,820,719,023.00","$1,957,722,898.00","$12,451,000,000.00",Down,5,-,5,-,-,-,"$5,568,381,551.00","$3,121,014,827.00","$2,703,758,538.00","$1,995,413,991.00","$2,487,035,976.00","$15,876,000,000.00",Down,27,-,8,-,-,-,"$5,956,753,411.00","$2,918,646,211.00","$1,186,974,209.00","$3,246,739,847.00","$2,861,449,423.00","$16,171,000,000.00",Down,34,-,8,-,-,-,"$141,465,844.00","$16,704,249.50",$0.00,"$265,501,581.00","$173,433,026.00","$597,104,700.00",Up,36,-,10,-,-,-,"$156,384,589.00","$916,045.67","$743,457.76","$252,534,010.00","$61,687,745.90","$472,265,848.00",Down,28,-,10,-,-,-,"$408,433,269.00","$264,141,778.00",$0.00,"$1,358,153,507.00","$380,964,106.00","$2,411,692,661.00",Down,27,-,8,-,-,-,"$23,226,483.70","$15,701,841.00","$8,694,039.08","$45,769,127.80","$76,073,149.30","$169,464,641.00",Up
Lloyds,gb,TRUE,,,,TRUE,,1.1%,"$1,104.42",18,10,28,44,18,-,-,-,5,"$2,955,000,000.00","$2,669,000,000.00","$2,526,000,000.00","$1,457,000,000.00","$2,372,000,000.00","$11,979,000,000.00",Down,,21,23,11,5,5,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,50,20,22,-,-,5,$0.00,$0.00,$0.00,"$25,986,989.90",$0.00,"$25,986,989.90",Equal,48,15,23,-,-,4,$0.00,$0.00,$0.00,"$46,143,061.90",$0.00,"$46,143,061.90",Equal,49,19,-,-,-,5,"$859,548,537.00","$613,174,725.00","$701,074,464.00","$686,161,937.00","$564,225,723.00","$3,424,185,386.00",Down,35,14,-,-,-,4,"$43,629,294.00","$36,571,401.00","$37,019,890.40","$165,420,067.00","$76,468,569.70","$359,109,222.00",Up,28,16,-,-,-,4,"$370,194,745.00","$197,149,500.00","$269,345,698.00","$70,957,494.80","$58,227,694.80","$965,875,132.00",Down,33,15,-,-,-,4,"$254,734,859.00","$227,117,598.00","$229,732,900.00","$257,583,726.00","$273,672,221.00","$1,242,841,304.00",Up,37,12,-,-,-,4,"$14,481,218.80","$12,219,979.30","$12,540,548.40","$9,162,651.75","$9,311,440.96","$57,715,839.30",Down
China CITIC Bank,cn,,TRUE,,,,,4.9%,$904.02,0.5,0.5,1,27,-,9,-,-,-,"$8,050,000,000.00","$6,043,000,000.00","$9,262,000,000.00","$10,731,000,000.00","$10,398,000,000.00","$44,484,000,000.00",Up,26,-,11,-,-,-,$0.00,$0.00,$0.00,"$119,627,485.00","$206,609,893.00","$326,237,377.00",Up,5,-,5,-,-,-,"$1,577,366,348.00","$690,047,723.00","$1,362,226,574.00","$1,937,226,269.00","$1,410,766,247.00","$6,977,633,160.00",Down,3,-,3,-,-,-,"$2,950,277,741.00","$3,199,964,267.00","$4,046,034,429.00","$5,289,975,996.00","$2,928,905,557.00","$18,415,000,000.00",Down,29,-,9,-,-,-,"$1,948,891,671.00","$1,751,221,171.00","$2,350,673,412.00","$3,364,606,203.00","$3,560,068,991.00","$12,975,000,000.00",Up,36,-,9,-,-,-,$0.00,$0.00,$0.00,"$91,473,603.10","$244,079,431.00","$335,553,034.00",Up,50,-,20,-,-,-,$0.00,$0.00,$0.00,"$663,502.23","$78,180,952.00","$78,844,454.30",Up,35,-,12,-,-,-,$0.00,$0.00,$0.00,"$467,926,384.00","$536,146,455.00","$1,004,072,840.00",Up,40,-,15,-,-,-,$0.00,$0.00,$0.00,"$12,334,126.90","$29,594,390.20","$41,928,517.10",Up
Standard Chartered,gb,TRUE,,,,TRUE,,4.4%,$720.40,28,7.5,35.5,35,12,-,-,-,3,"$2,561,000,000.00","$4,920,000,000.00","$8,813,000,000.00","$8,030,000,000.00","$7,098,000,000.00","$31,422,000,000.00",Up,38,15,-,-,-,3,"$8,804,307.19","$30,460,158.90","$5,955,512.81","$65,422,534.50","$29,453,152.60","$140,095,666.00",Up,28,8,-,-,-,2,"$35,372,240.80","$80,855,632.70","$88,661,782.30","$110,219,271.00","$153,508,772.00","$468,617,699.00",Up,23,4,-,-,-,3,$0.00,"$323,060,241.00","$787,674,509.00","$602,876,325.00","$399,566,874.00","$2,113,177,949.00",Up,34,12,-,-,-,3,"$579,098,989.30","$1,716,889,983.00","$1,539,104,215.00","$1,700,865,545.00","$3,000,803,538.00","$8,536,762,270.00",Up,37,15,-,-,-,5,$0.00,$0.00,$0.00,"$136,541,682.00","$190,031,131.00","$326,572,813.00",Up,25,13,-,-,-,3,"$174,573,159.00","$164,565,063.00","$317,122,755.00","$343,013,997.00","$870,192,038.00","$1,869,467,011.00",Up,26,12,-,-,-,3,"$128,006,963.00","$933,262,288.00","$139,452,997.00","$523,439,163.00","$952,629,011.00","$2,676,790,422.00",Up,31,10,-,-,-,3,"$12,428,294.20","$14,424,403.00","$8,694,039.08","$15,651,011.00","$63,871,416.50","$115,069,164.00",Up
China Everbright Bank,cn,,TRUE,,,,,4.2%,$679.81,0,0,0,26,-,13,-,-,-,"$5,020,000,000.00","$4,149,000,000.00","$4,091,000,000.00","$4,330,000,000.00","$10,701,000,000.00","$28,291,000,000.00",Up,30,-,13,-,-,-,$0.00,$0.00,$0.00,$0.00,"$267,994,918.00","$267,994,918.00",Up,8,-,8,-,-,-,"$340,729,005.00","$873,703,130.00","$1,188,907,053.00","$1,194,646,715.00","$2,518,234,396.00","$6,116,220,299.00",Up,10,-,10,-,-,-,"$2,001,203,127.00","$1,628,949,125.00","$1,164,424,951.00","$1,477,720,148.00","$1,667,032,112.00","$7,939,329,464.00",Down,45,-,18,-,-,-,"$706,103,915.10","$334,499,714.70","$532,408,251.00","$97,810,928.10","$2,991,023,025.00","$4,661,845,833.00",Up,38,-,10,-,-,-,$0.00,$0.00,$0.00,$0.00,"$244,729,440.00","$244,729,440.00",Up,47,-,18,-,-,-,$0.00,$0.00,$0.00,$0.00,"$97,747,743.70","$97,747,743.70",Up,44,-,17,-,-,-,$0.00,$0.00,$0.00,$0.00,"$537,574,271.00","$537,574,271.00",Up,32,-,11,-,-,-,$0.00,$0.00,$0.00,$0.00,"$108,464,416.00","$108,464,416.00",Up
Shanghai Pudong Development Bank,cn,,TRUE,,,,,4.0%,$950.01,0,0,0,23,-,10,-,-,-,"$6,007,000,000.00","$4,955,000,000.00","$6,989,000,000.00","$7,759,000,000.00","$12,165,000,000.00","$37,875,000,000.00",Up,33,-,16,-,-,-,$0.00,$0.00,$0.00,$0.00,"$240,171,931.00","$240,171,931.00",Up,4,-,4,-,-,-,"$1,055,062,572.00","$1,065,855,896.00","$2,432,042,804.00","$1,947,884,405.00","$2,546,895,894.00","$9,047,741,572.00",Up,8,-,8,-,-,-,"$2,393,635,477.00","$1,760,980,914.00","$1,708,513,304.00","$2,148,664,940.00","$1,575,491,628.00","$9,587,286,264.00",Down,33,-,12,-,-,-,"$2,472,180,239.00","$1,439,419,701.00","$976,447,088.00","$1,225,681,808.00","$3,105,497,578.00","$9,219,226,414.00",Up,39,-,11,-,-,-,$0.00,$0.00,$0.00,$0.00,"$244,024,486.00","$244,024,486.00",Up,56,-,23,-,-,-,$0.00,$0.00,$0.00,$0.00,"$16,548,265.10","$16,548,265.10",Up,42,-,16,-,-,-,$0.00,$0.00,$0.00,$0.00,"$585,734,206.00","$585,734,206.00",Up,33,-,12,-,-,-,$0.00,$0.00,$0.00,$0.00,"$76,330,983.40","$76,330,983.40",Up
Postal Savings Bank of China,cn,,TRUE,,,,,0.5%,"$1,467.31",1,0.5,1.5,45,-,19,-,-,-,"$168,000,000.00","$1,034,000,000.00","$1,478,000,000.00","$3,063,000,000.00","$2,186,000,000.00","$7,929,000,000.00",Up,32,-,15,-,-,-,$0.00,$0.00,$0.00,"$243,869,727.00","$4,570,746.72","$248,440,474.00",Up,18,-,13,-,-,-,"$9,451,123.26","$15,019,532.90","$40,868,478.20","$100,999,684.00","$806,339,893.00","$972,678,711.00",Up,20,-,14,-,-,-,"$107,429,891.00","$443,798,318.00","$534,339,765.00","$906,954,970.00","$880,822,177.00","$2,873,345,121.00",Up,50,-,19,-,-,-,$0.00,$0.00,"$227,202,799.00","$2,057,007,569.00","$727,047,537.00","$3,011,257,905.00",Up,40,-,12,-,-,-,$0.00,$0.00,$0.00,"$186,475,898.00","$5,399,670.10","$191,875,568.00",Up,53,-,21,-,-,-,$0.00,$0.00,$0.00,"$42,710,901.90","$27,912.07","$42,738,814.00",Up,38,-,13,-,-,-,$0.00,$0.00,$0.00,"$953,903,528.00","$11,860,950.20","$965,764,478.00",Up,46,-,17,-,-,-,$0.00,$0.00,$0.00,"$25,144,055.90","$654,704.67","$25,798,760.50",Up
ANZ,au,,TRUE,,,,TRUE,2.3%,$661.72,22,0.5,22.5,42,-,17,-,-,-,"$2,621,000,000.00","$2,662,000,000.00","$3,913,000,000.00","$3,091,000,000.00","$2,940,000,000.00","$15,227,000,000.00",Up,46,-,21,-,-,-,"$3,961,938.21","$11,988,746.90",$0.00,"$11,648,324.40","$15,639,195.70","$43,238,205.20",Up,45,-,20,-,-,-,"$7,896,637.30","$40,744,376.20","$62,854,838.80","$85,817,689.10","$86,018,479.80","$283,332,021.00",Up,35,-,18,-,-,-,"$134,620,398.00","$156,673,652.00","$199,908,337.00","$143,943,334.00","$109,012,672.00","$744,158,393.00",Down,44,-,17,-,-,-,"$734,860,180.20","$992,165,720.10","$273,274,379.00","$1,308,045,380.00","$1,764,926,177.00","$5,073,271,835.00",Up,41,-,13,-,-,-,$0.00,"$13,695,378.60",$0.00,"$108,180,059.00","$38,807,135.20","$160,682,573.00",Up,29,-,7,-,-,-,"$401,214,171.00","$12,012,467.50",$0.00,"$466,171,392.00","$43,017,123.00","$922,415,153.00",Down,25,-,9,-,-,-,"$600,000,000.00","$540,820,975.00",$0.00,"$268,648,066.00","$1,364,496,474.00","$2,773,965,515.00",Up,35,-,13,-,-,-,"$23,403,371.50","$21,811,218.90",$0.00,"$2,262,863.66","$22,454,375.00","$69,931,829.10",Down
Industrial Bank,cn,,TRUE,,,,,5.6%,$976.79,1,0.5,1.5,21,-,7,-,-,-,"$8,216,000,000.00","$8,806,000,000.00","$12,529,000,000.00","$11,467,000,000.00","$14,043,000,000.00","$55,061,000,000.00",Up,36,-,17,-,-,-,$0.00,"$9,795,268.75",$0.00,$0.00,"$180,595,274.00","$190,390,543.00",Up,1,-,1,-,-,-,"$1,572,612,273.00","$4,051,415,836.00","$5,158,670,074.00","$3,335,191,165.00","$3,354,499,417.00","$17,472,000,000.00",Up,9,-,9,-,-,-,"$1,431,380,131.00","$1,739,112,646.00","$1,796,061,819.00","$1,931,205,666.00","$1,667,850,708.00","$8,565,610,970.00",Up,31,-,11,-,-,-,"$1,405,420,404.00","$1,836,714,146.00","$1,842,819,505.00","$1,045,403,793.00","$4,247,918,713.00","$10,378,000,000.00",Up,42,-,14,-,-,-,$0.00,"$16,704,249.50",$0.00,$0.00,"$124,066,780.00","$140,771,029.00",Up,46,-,17,-,-,-,$0.00,"$109,003.86",$0.00,$0.00,"$131,723,197.00","$131,832,201.00",Up,45,-,18,-,-,-,$0.00,"$33,372,547.80",$0.00,$0.00,"$322,234,333.00","$355,606,881.00",Up,29,-,9,-,-,-,$0.00,"$1,277,437.99",$0.00,$0.00,"$116,139,066.00","$117,416,504.00",Up
Ping An,cn,,TRUE,,,,,5.2%,$565.72,0,0.5,0.5,33,-,12,-,-,-,"$3,489,000,000.00","$4,834,000,000.00","$7,839,000,000.00","$5,307,000,000.00","$8,231,000,000.00","$29,700,000,000.00",Up,39,-,19,-,-,-,$0.00,$0.00,$0.00,$0.00,"$105,427,892.00","$105,427,892.00",Up,9,-,9,-,-,-,"$773,797,749.00","$1,191,951,577.00","$1,155,303,857.00","$278,079,930.00","$2,335,947,625.00","$5,735,080,738.00",Up,6,-,6,-,-,-,"$1,298,016,206.00","$2,789,825,804.00","$4,413,140,720.00","$2,572,180,442.00","$2,381,439,238.00","$13,455,000,000.00",Up,38,-,14,-,-,-,"$253,742,613.50","$1,418,389,305.00","$2,336,864,463.00","$862,320,256.00","$1,838,964,861.00","$6,710,281,498.00",Up,43,-,15,-,-,-,$0.00,$0.00,$0.00,$0.00,"$124,547,665.00","$124,547,665.00",Up,54,-,22,-,-,-,$0.00,$0.00,$0.00,$0.00,"$40,781,751.40","$40,781,751.40",Up,48,-,20,-,-,-,$0.00,$0.00,$0.00,$0.00,"$273,582,207.00","$273,582,207.00",Up,49,-,19,-,-,-,$0.00,$0.00,$0.00,$0.00,"$15,101,281.60","$15,101,281.60",Up
Bank of Communications,cn,,TRUE,,,,,1.7%,"$1,422.63",0,0,0,37,-,15,-,-,-,"$4,278,000,000.00","$3,270,000,000.00","$4,763,000,000.00","$4,878,000,000.00","$6,561,000,000.00","$23,750,000,000.00",Up,37,-,18,-,-,-,$0.00,"$11,988,746.90","$5,955,512.81","$1,583,334.97","$124,437,325.00","$143,964,920.00",Up,6,-,6,-,-,-,"$821,279,291.00","$1,297,142,664.00","$1,542,475,965.00","$1,886,412,481.00","$1,428,273,582.00","$6,975,583,983.00",Up,19,-,13,-,-,-,"$806,156,656.00","$596,951,912.00","$944,273,019.00","$243,493,887.00","$484,453,552.00","$3,075,329,026.00",Down,43,-,16,-,-,-,"$1,036,549,060.00","$971,920,723.10","$540,160,414.00","$744,001,942.00","$1,907,847,043.00","$5,200,479,182.00",Up,44,-,16,-,-,-,$0.00,$0.00,$0.00,$0.00,"$113,487,467.00","$113,487,467.00",Up,48,-,19,-,-,-,"$30,408,835.80","$964,296.31","$743,457.76","$13,265,259.60","$50,930,822.30","$96,312,671.70",Up,40,-,15,-,-,-,"$367,966,647.00",$0.00,$0.00,"$110,360,017.00","$298,995,747.00","$777,322,410.00",Down,30,-,10,-,-,-,"$18,890,539.80","$17,235,040.80","$8,694,039.08","$18,731,438.30","$53,720,958.40","$117,272,016.00",Up
ING,nl,TRUE,,,,,,4.4%,"$1,000.72",33,18,51,38,8,-,-,-,-,"$9,266,000,000.00","$8,276,000,000.00","$11,338,000,000.00","$8,841,000,000.00","$6,488,000,000.00","$44,209,000,000.00",Down,28,11,-,-,-,-,"$5,056,756.26","$14,551,363.30","$140,780,068.00","$133,912,933.00",$0.00,"$294,301,121.00",Down,29,9,-,-,-,-,"$152,846,797.00","$40,744,376.20","$56,167,120.20","$110,219,271.00","$86,018,479.80","$445,996,045.00",Down,53,20,25,12,4,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,42,16,-,-,-,-,"$1,245,973,943.00","$704,349,347.40","$2,112,177,615.00","$1,244,031,400.00","$508,754,472.00","$5,815,286,779.00",Down,45,16,-,-,-,-,"$46,875,000.00","$4,577,713.19",$0.00,$0.00,$0.00,"$51,452,713.20",Down,20,9,-,-,-,-,"$642,255,834.00","$172,304,233.00","$652,071,930.00","$933,711,048.00","$269,259,256.00","$2,669,602,301.00",Down,43,18,-,-,-,-,"$154,946,888.00","$154,153,555.00","$103,109,493.00","$39,500,503.60","$106,215,057.00","$557,925,497.00",Down,43,17,-,-,-,-,"$5,592,732.38","$18,764,639.40",$0.00,"$9,304,772.40",$0.00,"$33,662,144.10",Down
China Merchants Bank,cn,,TRUE,,,,,3.0%,"$1,065.25",0,0.5,0.5,36,-,11,-,-,-,"$8,839,000,000.00","$3,620,000,000.00","$7,269,000,000.00","$5,580,000,000.00","$7,084,000,000.00","$32,392,000,000.00",Down,44,-,20,-,-,-,$0.00,$0.00,$0.00,"$7,915,790.07","$43,480,359.60","$51,396,149.70",Up,10,-,10,-,-,-,"$1,648,967,293.00","$570,448,096.00","$1,262,341,920.00","$1,020,545,356.00","$359,410,535.00","$4,861,713,201.00",Down,7,-,7,-,-,-,"$3,195,652,130.00","$1,459,729,786.00","$3,158,506,010.00","$2,073,517,256.00","$2,485,677,044.00","$12,373,000,000.00",Down,37,-,13,-,-,-,"$1,508,908,960.00","$586,151,983.90","$1,969,226,908.00","$647,283,919.00","$2,052,264,354.00","$6,763,836,124.00",Up,46,-,17,-,-,-,$0.00,$0.00,$0.00,"$4,922,848.98","$5,399,670.10","$10,322,519.10",Up,40,-,13,-,-,-,$0.00,$0.00,"$236,054,297.00","$52,779,784.40","$11,293,606.30","$300,127,688.00",Up,51,-,22,-,-,-,$0.00,$0.00,$0.00,"$25,182,466.30","$11,860,950.20","$37,043,416.50",Up,36,-,14,-,-,-,$0.00,$0.00,$0.00,"$9,968,560.01","$51,049,142.20","$61,017,702.20",Up
UniCredit,it,TRUE,,,,,,3.3%,$960.21,75,18.5,93.5,32,13,-,-,-,-,"$6,052,000,000.00","$6,639,000,000.00","$4,684,000,000.00","$5,401,000,000.00","$8,641,000,000.00","$31,418,000,000.00",Up,6,2,-,-,-,-,"$84,259,651.20","$65,745,326.70","$209,106,724.00","$309,649,514.00","$824,160,315.00","$1,492,921,530.00",Up,25,6,-,-,-,-,"$217,343,729.00","$148,206,518.00","$85,436,221.20","$136,206,261.00","$86,018,479.80","$673,211,209.00",Down,46,14,-,-,-,-,$0.00,"$10,582,010.60","$3,741,998.99","$46,143,061.90",$0.00,"$60,467,071.40",Equal,36,13,-,-,-,-,"$1,964,629,910.00","$786,265,736.40","$1,447,121,942.00","$652,358,784.00","$3,163,817,972.00","$8,014,194,345.00",Up,47,17,18,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,34,18,-,-,-,-,"$223,221,069.00","$150,000,000.00","$118,360,000.00",$0.00,"$26,873,947.90","$518,455,017.00",Down,24,11,-,-,-,-,"$631,046,116.00","$190,249,992.00","$522,663,185.00","$103,818,399.00","$1,341,047,228.00","$2,788,824,920.00",Up,41,15,-,-,-,-,"$24,884,503.90",$0.00,$0.00,$0.00,"$17,037,871.30","$41,922,375.20",Down
Intesa Sanpaolo,it,TRUE,,,,,,1.3%,"$1,057.82",18,0.5,18.5,49,15,-,-,-,-,"$4,158,000,000.00","$1,981,000,000.00","$4,224,000,000.00","$1,528,000,000.00","$1,818,000,000.00","$13,708,000,000.00",Down,34,13,-,-,-,-,"$28,511,705.10","$17,754,552.00","$83,233,043.30","$41,438,392.40","$56,302,727.10","$227,240,420.00",Up,32,12,-,-,-,-,"$122,033,789.00",$0.00,"$265,993,267.00","$25,986,989.90",$0.00,"$414,014,046.00",Down,40,10,-,-,-,-,$0.00,$0.00,"$198,983,255.00","$46,143,061.90",$0.00,"$245,126,317.00",Equal,40,15,-,-,-,-,"$1,442,238,582.00","$969,663,200.00","$2,876,606,454.00","$410,471,141.00","$637,299,461.00","$6,336,278,839.00",Down,47,17,18,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,26,14,-,-,-,-,"$416,771,099.00","$313,320,000.00","$383,824,297.00","$175,267,391.00","$274,728,326.00","$1,563,911,113.00",Down,31,14,-,-,-,-,"$622,972,525.00","$449,641,444.00","$339,739,222.00","$114,885,205.00","$140,999,669.00","$1,668,238,065.00",Down,47,18,-,-,-,-,"$24,884,503.90",$0.00,$0.00,$0.00,$0.00,"$24,884,503.90",Down
