|FRN|Firm|
|591946|Reading Nyangi of Cameroonians|
|578163|Riada Credit Union Limited|
|446350|Right Way Credit Union Ltd|
|214245|Riverside Credit Union Limited|
|574000|Roe Valley Credit Union Limited|
|573853|Roslea Credit Union Limited|
|213638|Ruchill Credit Union Limited|
|228814|Rugby Borough Credit Union Limited|
|213888|S C V O Credit Union Limited|
|573881|S.A.G. Credit Union Limited|
|213500|Sale Credit Union Limited|
|213304|Salford Credit Union Limited|
|213597|Scottish Police Credit Union Limited|
|213869|Scottish Transport Credit Union Limited|
|213616|Scotwest Credit Union Limited|
|213363|Sefton Credit Union Limited|
|573644|Shaftesbury Credit Union Limited|
|213679|Sheffield Credit Union Limited|
|213682|Shettleston and Tollcross Credit Union Limited|
|576112|Sion Mills Credit Union Limited|
|574879|Sixmilecross & District Credit Union Limited|
|578296|Skea Credit Union Limited|
|573913|Slemish n tha Braid Credit Union Limited|
|573711|Slieve Gullion Credit Union Limited|
|213370|Smart Money Credit Union Limited|
|213901|Solway Credit Union Limited|
|213560|Somerset Community Credit Union|
|213356|South Bank Savings and Credit Union Limited|
|213858|South Coatbridge Credit Union Limited|
|573791|South Fermanagh Credit Union Limited|
|213666|South Manchester Credit Union Limited|
|213314|Southdene Credit Union Limited|
|213993|Sovereign Credit Union Limited|
|213403|St Aidan and Oswalds K.S.C. Royton Credit Union Limited|
|213794|St Albans District Credit Union Limited|
|213539|St Gregory's Credit Union Limited|
|213576|St Machar Credit Union Limited|
|213349|St Mary's & St Joseph's (Newton Aycliffe) Credit Union Limited|
|213272|St Therese's (Port Talbot) Credit Union Limited|
|213223|St Wilfrid and Mother of God Credit Union Limited|
|213749|St. Francis Xavier and St. Mary's Credit Union Limited|
|213561|Stevenage Credit Union Limited|
|573842|Stewartstown and District Credit Union Limited|
|214247|Stirling Credit Union Limited|
|213305|Stockport Credit Union Limited|
|573664|Strabane Credit Union Limited|
|575492|Stramore Community Credit Union Limited|
|213928|Stranraer Credit Union Limited|
|213930|Suffolk County Council Employees and Pensioners Credit Union Limited|
|213860|Tail O' The Bank Credit Union Limited|
|213811|Taxi Trade Credit Union Limited|
|213821|Tay Valley Credit Union Limited|
|574516|Teachers' Credit Union Limited|
|574513|Templemore Credit Union Limited|
|573928|Termonmaguirk Credit Union Limited|
|416486|Thamesbank Credit Union Limited|
|213234|The Chaplaincy Savings and Credit Union Limited|
|213649|The Co-operative Family Credit Union Limited|
|213643|The Merthyr Tydfil Borough Credit Union Limited|
|213242|The Pentecostal Credit Union Limited|
|213437|The Wirral Credit Union Limited|
|213550|Thorne Credit Union Limited|
|213671|Thorniewood Credit Union Limited|
|574515|Torrent Credit Union Limited|
|213296|Tower Hamlets (Green Light) Credit Union Limited|
|573709|TPM Credit Union Limited|
|213773|Transave Credit Union Limited|
|576218|Tullycarnet Credit Union Limited|
