#ID_RSSD_PREDECESSOR,ID_RSSD_SUCCESSOR,D_DT_TRANS,TRNSFM_CD,ACCT_METHOD,DT_TRANS
1071212,2909170,"06/30/2000 00:00:00",1,0,20000630
1071267,1117736,"08/15/2001 00:00:00",1,0,20010815
1071294,1071276,"06/01/1994 00:00:00",1,0,19940601
1071315,1248443,"04/02/1989 00:00:00",1,0,19890402
1071379,1071203,"06/01/2005 00:00:00",1,0,20050601
1071409,1080652,"02/01/2020 00:00:00",1,0,20200201
1071418,1070345,"03/31/1988 00:00:00",1,0,19880331
1071427,1070363,"01/01/1989 00:00:00",1,0,19890101
1071445,2467175,"02/01/1999 00:00:00",1,0,19990201
1071481,2467175,"12/31/1998 00:00:00",1,0,19981231
1071490,1070251,"09/23/1991 00:00:00",1,0,19910923
1071511,1076262,"12/08/2018 00:00:00",1,0,20181208
1071520,1132654,"12/01/1998 00:00:00",1,0,19981201
1071557,1068687,"11/30/1986 00:00:00",1,0,19861130
1071584,1071623,"12/23/2014 00:00:00",1,0,20141223
1071593,1132702,"04/22/1999 00:00:00",1,0,19990422
1071632,1068191,"03/01/2006 00:00:00",1,0,20060301
1071669,4122722,"08/15/2015 00:00:00",1,0,20150815
1071678,2376941,"02/20/2021 00:00:00",1,0,20210220
1071687,1399037,"07/01/1990 00:00:00",1,0,19900701
1071696,1071203,"04/30/2002 00:00:00",1,0,20020430
1071717,1070804,"05/23/1998 00:00:00",1,0,19980523
1071744,1076338,"03/28/1992 00:00:00",1,0,19920328
1071801,1071539,"05/01/1985 00:00:00",1,0,19850501
1071829,1070411,"08/21/1992 00:00:00",1,0,19920821
1071847,2684039,"03/09/1998 00:00:00",1,0,19980309
1071874,1070448,"08/05/1987 00:00:00",1,0,19870805
1071883,1070550,"01/02/1997 00:00:00",1,0,19970102
1071892,2753869,"01/26/1999 00:00:00",1,0,19990126
1071922,1071502,"07/08/1998 00:00:00",1,0,19980708
1071931,1137592,"04/01/1998 00:00:00",1,0,19980401
1071959,2469245,"10/01/1996 00:00:00",1,0,19961001
1071968,1074156,"07/02/2003 00:00:00",1,0,20030702
1071977,852320,"09/26/2003 00:00:00",1,2,20030926
1072031,1072004,"12/31/1988 00:00:00",1,0,19881231
1072068,1072086,"02/01/1999 00:00:00",1,0,19990201
1072077,1072086,"02/01/1999 00:00:00",1,0,19990201
1072095,1071968,"02/11/1995 00:00:00",1,0,19950211
1072107,1073551,"11/29/1997 00:00:00",1,0,19971129
1072116,2253891,"11/23/1994 00:00:00",1,0,19941123
1072161,2320823,"08/31/1998 00:00:00",1,0,19980831
1072189,1073560,"06/01/1999 00:00:00",1,0,19990601
1072228,1072116,"07/09/1986 00:00:00",1,0,19860709
1072237,1077120,"01/01/2000 00:00:00",1,0,20000101
1072291,1073551,"08/01/1997 00:00:00",1,0,19970801
1072312,1072376,"01/19/1985 00:00:00",1,0,19850119
1072321,1072291,"01/01/1994 00:00:00",1,0,19940101
1072330,761374,"10/01/1993 00:00:00",1,0,19931001
1072358,1073560,"09/02/1993 00:00:00",1,0,19930902
1072394,1074156,"07/02/1997 00:00:00",1,0,19970702
1072442,1069778,"03/02/2007 00:00:00",1,0,20070302
1072536,2759290,"12/31/1998 00:00:00",1,0,19981231
1072545,1069910,"09/15/2007 00:00:00",1,0,20070915
1072554,1136157,"12/01/1995 00:00:00",1,0,19951201
1072572,160324,"12/31/1989 00:00:00",1,0,19891231
1072602,1154366,"05/04/1992 00:00:00",1,0,19920504
1072639,1072947,"03/31/1986 00:00:00",1,0,19860331
1072648,3084234,"03/04/2013 00:00:00",1,0,20130304
1072657,1076990,"01/01/1991 00:00:00",1,0,19910101
1072675,1901056,"03/10/1995 00:00:00",1,0,19950310
1072714,1073869,"08/30/2002 00:00:00",1,0,20020830
1072723,1072107,"12/31/1986 00:00:00",1,0,19861231
1072732,761374,"11/29/1997 00:00:00",1,0,19971129
1072741,1072189,"01/01/1990 00:00:00",1,0,19900101
1072769,761374,"11/27/2002 00:00:00",1,0,20021127
1072853,1857368,"11/26/1997 00:00:00",1,0,19971126
1072862,1857368,"11/26/1997 00:00:00",1,0,19971126
1072871,1857368,"11/26/1997 00:00:00",1,0,19971126
1072880,1117594,"11/29/1999 00:00:00",1,0,19991129
1072899,1857368,"11/26/1997 00:00:00",1,0,19971126
1072901,1857368,"11/26/1997 00:00:00",1,0,19971126
1072929,1854107,"04/28/2000 00:00:00",1,0,20000428
1072938,1387575,"05/05/2000 00:00:00",1,0,20000505
1072947,1831715,"01/01/1991 00:00:00",1,0,19910101
1072974,1902110,"12/30/1999 00:00:00",1,0,19991230
1072992,2860208,"09/30/1999 00:00:00",1,0,19990930
1073010,1831715,"09/01/1993 00:00:00",1,0,19930901
1073029,1072648,"04/30/2003 00:00:00",1,0,20030430
1073047,1843352,"09/01/1993 00:00:00",1,0,19930901
1073056,1843352,"09/01/1993 00:00:00",1,0,19930901
1073065,1843352,"09/01/1993 00:00:00",1,0,19930901
1073074,1843352,"09/01/1993 00:00:00",1,0,19930901
1073083,1843352,"09/01/1993 00:00:00",1,0,19930901
1073092,1843352,"09/01/1993 00:00:00",1,0,19930901
1073104,1843352,"09/01/1993 00:00:00",1,0,19930901
1073113,2173092,"04/30/2003 00:00:00",1,0,20030430
1073122,746773,"01/01/1991 00:00:00",1,0,19910101
1073140,3084234,"09/20/2002 00:00:00",1,0,20020920
1073168,1843352,"09/01/1993 00:00:00",1,0,19930901
1073177,1843352,"09/01/1993 00:00:00",1,0,19930901
1073186,1843352,"09/01/1993 00:00:00",1,0,19930901
1073195,1843352,"09/01/1993 00:00:00",1,0,19930901
1073207,1073971,"10/02/1992 00:00:00",1,0,19921002
1073225,1073551,"08/01/1997 00:00:00",1,0,19970801
1073252,519221,"01/01/1989 00:00:00",1,0,19890101
1073328,1956467,"12/31/1996 00:00:00",1,0,19961231
1073337,1902110,"08/11/1995 00:00:00",1,0,19950811
1073355,1101847,"12/31/1993 00:00:00",1,0,19931231
