,#ID_RSSD,D_DT_START,D_DT_END,BHC_IND,BROAD_REG_CD,CHTR_AUTH_CD,CHTR_TYPE_CD,FBO_4C9_IND,FHC_IND,FUNC_REG,INSUR_PRI_CD,MBR_FHLBS_IND,MBR_FRS_IND,SEC_RPTG_STATUS,EST_TYPE_CD,BANK_CNT,BNK_TYPE_ANALYS_CD,D_DT_EXIST_CMNC,D_DT_EXIST_TERM,FISC_YREND_MMDD,D_DT_INSUR,D_DT_OPEN,FNCL_SUB_HOLDER,FNCL_SUB_IND,IBA_GRNDFTHR_IND,IBF_IND,ID_RSSD_HD_OFF,MJR_OWN_MNRTY,NM_LGL,NM_SHORT,NM_SRCH_CD,ORG_TYPE_CD,REASON_TERM_CD,CNSRVTR_CD,ENTITY_TYPE,AUTH_REG_DIST_FRS,ACT_PRIM_CD,CITY,CNTRY_NM,ID_CUSIP,STATE_ABBR_NM,PLACE_CD,STATE_CD,STATE_HOME_CD,STREET_LINE1,STREET_LINE2,ZIP_CD,ID_THRIFT,ID_THRIFT_HC,DOMESTIC_IND,ID_ABA_PRIM,ID_FDIC_CERT,ID_NCUA,COUNTY_CD,DIST_FRS,ID_OCC,CNTRY_CD,DT_END,DT_EXIST_CMNC,DT_EXIST_TERM,DT_INSUR,DT_OPEN,DT_START,ID_TAX,PROV_REGION,URL,SLHC_IND,SLHC_TYPE_IND,PRIM_FED_REG,STATE_INC_CD,CNTRY_INC_CD,STATE_INC_ABBR_NM,CNTRY_INC_NM,ID_LEI,IHC_IND
93320,2928948,05/25/2004 00:00:00,06/30/2004 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,06/30/2004 00:00:00,0,,01/27/1999 00:00:00,0,0,0,0,42420,0,WALMART DRIVE BRANCH                                                                                                    ,WALMART DRIVE BR              ,403389850,0,0,0,DBR,0,0,NORTH VERSAILLES,UNITED STATES                           ,0,PA,0,42,0,100 WALMART DRIVE,0,15137    ,0,0,Y,0,0,0,3,4,0,1007,20040630,0,20040630,0,19990127,20040525,0,0,0,0,0,,0,0,0,,0,0
93321,161022,01/01/2008 00:00:00,12/31/9999 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/9999 00:00:00,0,,01/01/1934 00:00:00,0,0,0,0,42420,0,DOWNTOWN GREENSBURG BRANCH                                                                                              ,DOWNTOWN GREENSBURG BR        ,510827551,0,0,0,DBR,0,0,GREENSBURG,UNITED STATES                           ,0,PA,0,42,0,111 SOUTH MAIN STREET,0,15601    ,0,0,Y,0,0,0,129,4,0,1007,99991231,0,99991231,0,19340101,20080101,0,0,0,0,0,,0,0,0,,0,0
93322,3317727,06/30/2004 00:00:00,12/31/9999 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/9999 00:00:00,0,,06/30/2004 00:00:00,0,0,0,0,42420,0,UNION SQUARE BRANCH                                                                                                     ,UNION SQUARE BR               ,536303447,0,0,0,DBR,0,0,NEW CASTLE,UNITED STATES                           ,0,PA,0,42,0,2547 WEST STATE ST,0,16101    ,0,0,Y,0,0,0,73,4,0,1007,99991231,0,99991231,0,20040630,20040630,0,0,0,0,0,,0,0,0,,0,0
93323,662725,11/14/1995 00:00:00,12/31/9999 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/9999 00:00:00,0,,03/27/1934 00:00:00,0,0,0,0,42420,0,WINDBER BRANCH                                                                                                          ,WINDBER BR                    ,475174968,0,0,0,DBR,0,0,WINDBER,UNITED STATES                           ,0,PA,85632,42,0,1400 GRAHAM AVENUE,0,15963    ,0,0,Y,0,0,0,111,4,0,1007,99991231,0,99991231,0,19340327,19951114,0,0,0,0,0,,0,0,0,,0,0
93324,2265531,08/29/2006 00:00:00,04/05/2019 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,04/05/2019 00:00:00,0,,01/03/1995 00:00:00,0,0,0,0,42420,0,MT ROYAL BRANCH                                                                                                         ,MT ROYAL BR                   ,311867634,0,0,0,DBR,0,0,GLENSHAW,UNITED STATES                           ,0,PA,29800,42,0,1416 MOUNT ROYAL BOULEVARD,0,15116    ,0,0,Y,0,0,0,3,4,0,1007,20190405,0,20190405,0,19950103,20060829,0,0,0,0,0,,0,0,0,,0,0
93335,688275,12/05/2003 00:00:00,06/30/2007 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,06/30/2007 00:00:00,0,,01/01/1942 00:00:00,0,0,0,0,42420,0,VILLAGE RUN BRANCH                                                                                                      ,VILLAGE RUN BR                ,342858503,0,0,0,DBR,0,0,WEXFORD,UNITED STATES                           ,0,PA,61000,42,0,1001 VILLAGE RUN RD,0,15090    ,0,0,Y,0,0,0,3,4,0,1007,20070630,0,20070630,0,19420101,20031205,0,0,0,0,0,,0,0,0,,0,0
93336,313522,10/15/2002 00:00:00,12/31/9999 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/9999 00:00:00,0,,01/01/1934 00:00:00,0,0,0,0,42420,0,DERRY BRANCH                                                                                                            ,DERRY BRANCH                  ,1066551368,0,0,0,DBR,0,0,DERRY,UNITED STATES                           ,0,PA,18960,42,0,200 S CHESTNUT ST,0,15627    ,0,0,Y,0,0,0,129,4,0,1007,99991231,0,99991231,0,19340101,20021015,0,0,0,0,0,,0,0,0,,0,0
93337,3943751,11/17/2008 00:00:00,12/31/9999 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/9999 00:00:00,0,,11/17/2008 00:00:00,0,0,0,0,42420,0,GREEN TREE BRANCH                                                                                                       ,GREEN TREE BR                 ,727245857,0,0,0,DBR,0,0,PITTSBURGH,UNITED STATES                           ,0,PA,0,42,0,339 MANSFIELD AVENUE,0,15220    ,0,0,Y,0,0,0,3,4,0,1007,99991231,0,99991231,0,20081117,20081117,0,0,0,0,0,,0,0,0,,0,0
93338,174013,09/07/2019 00:00:00,12/31/9999 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/9999 00:00:00,0,,02/07/1982 00:00:00,0,0,0,0,42420,0,LOYALSOCK BRANCH                                                                                                        ,LOYALSOCK BR                  ,400312432,0,0,0,DBR,0,0,WILLIAMSPORT,UNITED STATES                           ,0,PA,85312,42,0,301 SHIFFLER AVENUE,0,17701    ,0,0,Y,0,0,0,81,3,0,1007,99991231,0,99991231,0,19820207,20190907,0,0,0,0,0,,0,0,0,,0,0
93340,70571,04/03/2017 00:00:00,12/31/9999 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/9999 00:00:00,0,,01/01/1899 00:00:00,0,0,0,0,42420,0,MASSILLON BRANCH                                                                                                        ,MASSILLON BR                  ,929531572,0,0,0,DBR,0,0,MASSILLON,UNITED STATES                           ,0,OH,48244,39,0,140 LINCOLN WAY WEST,0,44647    ,0,0,Y,0,0,0,151,4,0,1007,99991231,0,99991231,0,18990101,20170403,0,0,0,0,0,,0,0,0,,0,0
93341,935223,06/14/1993 00:00:00,08/26/1998 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,08/26/1998 00:00:00,0,,06/11/1975 00:00:00,0,0,0,0,42420,0,ALLEGHENY PLAZA BRANCH                                                                                                  ,ALLEGHENY PLAZA BRANCH        ,878274221,0,0,0,DBR,0,0,LEECHBURG,UNITED STATES                           ,0,PA,42280,42,0,500 HYDE PARK ROAD,0,15656    ,0,0,Y,0,0,0,129,4,0,1007,19980826,0,19980826,0,19750611,19930614,0,0,0,0,0,,0,0,0,,0,0
93344,2267816,12/03/2016 00:00:00,12/11/2020 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/11/2020 00:00:00,0,,02/01/1995 00:00:00,0,0,0,0,42420,0,EAST 62 OFFICE                                                                                                          ,EAST 62 OFFICE                ,171603180,0,0,0,DBR,0,0,CANTON,UNITED STATES                           ,0,OH,12000,39,0,3100 ATLANTIC BOULEVARD NORTHEAST,0,44705    ,0,0,Y,0,0,0,151,4,0,1007,20201211,0,20201211,0,19950201,20161203,0,0,0,0,0,,0,0,0,,0,0
93365,139414,09/07/2019 00:00:00,12/31/9999 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/9999 00:00:00,0,,12/01/1969 00:00:00,0,0,0,0,42420,0,JERSEY SHORE BRANCH                                                                                                     ,JERSEY SHORE BR               ,726679494,0,0,0,DBR,0,0,JERSEY SHORE,UNITED STATES                           ,0,PA,38128,42,0,222 ALLEGHENY STREET,0,17740    ,0,0,Y,0,0,0,81,3,0,1007,99991231,0,99991231,0,19691201,20190907,0,0,0,0,0,,0,0,0,,0,0
93366,347518,11/14/1995 00:00:00,04/05/2019 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,04/05/2019 00:00:00,0,,01/01/1921 00:00:00,0,0,0,0,42420,0,DOWNTOWN JOHNSTOWN OFFICE                                                                                               ,DOWNTOWN JOHNSTOWN OFFICE     ,200365446,0,0,0,DBR,0,0,JOHNSTOWN,UNITED STATES                           ,0,PA,38288,42,0,217 FRANKLIN STREET,0,15901    ,0,0,Y,0,0,0,21,3,0,1007,20190405,0,20190405,0,19210101,19951114,0,0,0,0,0,,0,0,0,,0,0
93369,410029,01/01/2008 00:00:00,12/31/9999 00:00:00,0,0,0,0,0,0,0,0,0,0,0,2,,0,,12/31/9999 00:00:00,0,,02/29/1960 00:00:00,0,0,0,0,42420,0,NEW ALEXANDRIA BRANCH                                                                                                   ,NEW ALEXANDRIA BR             ,385480899,0,0,0,DBR,0,0,NEW ALEXANDRIA,UNITED STATES                           ,0,PA,53160,42,0,8291 STATE RTE 22,0,15670    ,0,0,Y,0,0,0,129,4,0,1007,99991231,0,99991231,0,19600229,20080101,0,0,0,0,0,,0,0,0,,0,0
