,tag,title,updated_at,link,address,postal_code,city,country,website,filink_id
68,commonwealth_bank,Commonwealth Bank,2021-09-03 12:53:45,https://www.banktrack.org/bank/commonwealth_bank,11 Harbour Street,NSW 2000,Sydney,Australia,http://www.commbank.com.au,957
69,national_australia_bank_group,National Australia Bank (NAB),2021-02-25 00:00:00,https://www.banktrack.org/bank/national_australia_bank_group,"800 Bourke St W, Docklands Victoria",3008,Melbourne,Australia,https://www.nab.com.au/,367
70,dekabank,DekaBank,2021-03-11 00:00:00,https://www.banktrack.org/bank/dekabank,Mainzer Landstraße 16,60325, Frankfurt am Main,Germany,https://www.deka.de/deka-group,833
71,natixis,Natixis,2021-02-16 00:00:00,https://www.banktrack.org/bank/natixis,"30, avenue Pierre Mendès France",75013,Paris,France,http://www.natixis.com/,235
72,commerzbank,Commerzbank,2021-08-30 12:02:26,https://www.banktrack.org/bank/commerzbank,Kaiserplatz ,60261,Frankfurt am Main,Germany,https://www.commerzbank.com/,293
73,industrial_bank,Industrial Bank,2021-02-19 00:00:00,https://www.banktrack.org/bank/industrial_bank,154 Hudong Road,350003,"Fuzhou, Fujian",China,https://www.cib.com.cn/en/,1471
74,bangkok_bank,Bangkok Bank,2016-04-04 15:58:04,https://www.banktrack.org/bank/bangkok_bank,333 Silom Rd,10500,Bangkok,Thailand,http://www.bangkokbank.com/BangkokBank/Pages/homepage.aspx,254
75,kasikorn_bank,Kasikorn Bank,2016-04-04 15:58:04,https://www.banktrack.org/bank/kasikorn_bank,1 Soi. Kasikornthai Ratburana Rd.,10140,Bangkok,Thailand,http://www.kasikornbank.com/en/Pages/Default.aspx,822
76,absa_bank_limited,Absa Group,2021-04-08 13:58:37,https://www.banktrack.org/bank/absa_bank_limited,"7th Floor, Absa Towers West  15 Troye Street ",2000,Johannesburg,South Africa,https://www.absa.africa/absaafrica/,1476
77,access_bank,Access Bank,2021-09-06 00:00:00,https://www.banktrack.org/bank/access_bank,"Plot 999C, Danmole Street",,"Victoria Island, Lagos State",Nigeria,http://www.accessbankplc.com/,1477
78,arab_african_international_bank,Arab African International Bank,2021-07-26 13:12:29,https://www.banktrack.org/bank/arab_african_international_bank,5 Midan Al Saray Al Koubra Garden City,11516, Cairo,Egypt,http://www.aaib.com,1479
79,banco_de_la_republica_oriental_del_uruguay,Banco de la República Oriental del Uruguay,2020-09-29 00:00:00,https://www.banktrack.org/bank/banco_de_la_republica_oriental_del_uruguay,Calle Cerrito 351,11000,Montevideo,Uruguay,https://www.portal.brou.com.uy/,1480
80,bancolombia_s_a_,Bancolombia,2021-07-27 11:36:19,https://www.banktrack.org/bank/bancolombia_s_a_,Calle 50 No. 51-66,,Medellin,Colombia,https://www.grupobancolombia.com,1482
81,bank_muscat,Bank Muscat,2021-09-17 11:40:26,https://www.banktrack.org/bank/bank_muscat,Markaz Al Tejari Street P.O. Box No.134 Post Ruwi,,Muscat,Oman,http://www.bankmuscat.com,1483
82,corpbanca,Itaú Corpbanca,2016-08-02 16:16:51,https://www.banktrack.org/bank/corpbanca,660 Rosario Norte Las Condes,,Santiago,Chile,http://www.corpbanca.cl,817
83,dnb,DNB,2020-12-01 12:12:21,https://www.banktrack.org/bank/dnb,Dronning Eufemias Gate 30,191,Oslo,Norway,https://www.dnb.no/en,1466
84,export_development_canada,Export Development Canada,2021-05-06 00:00:00,https://www.banktrack.org/bank/export_development_canada,150 Slater Street,ON K1A 1K3,Ottawa,Canada,http://www.edc.ca,249
